Year,Company,Category,Currency,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income,Pre-tax Income,Taxes,Net Income,Total Assets,Current Assets,Total Liabilities,Current Liabilities,Share Holder Equity,Cash,Debt,Beginning Cash,Ending Cash,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Earning Per Share,EBITDA
2016,Brightwater Holdings,BANKING,USD,12000.0,5607.0,6393.0,3605.0,2788.0,2648.0,662.0,1986.0,30300.0,9198.0,17000.0,7271.0,13300.0,4795.0,11726.0,3800.0,4795.0,1947.0,-495.0,-457.0,0.72,3282.0
2017,Brightwater Holdings,BANKING,USD,14571.0,6842.0,7729.0,4952.0,2777.0,2531.0,633.0,1898.0,33285.0,11687.0,18427.0,7332.0,14858.0,5438.0,11030.0,4795.0,5438.0,2376.0,-1066.0,-667.0,0.69,3814.0
2018,Brightwater Holdings,BANKING,USD,17101.0,8371.0,8730.0,5319.0,3411.0,3125.0,781.0,2344.0,34931.0,9086.0,18679.0,7889.0,16252.0,6716.0,9964.0,5438.0,6716.0,2881.0,-610.0,-993.0,0.85,4014.0
2019,Brightwater Holdings,BANKING,USD,20607.0,9284.0,11323.0,5957.0,5366.0,5185.0,1296.0,3889.0,37671.0,15950.0,19255.0,9834.0,18416.0,9079.0,13076.0,6716.0,9079.0,4164.0,-860.0,-941.0,1.41,6521.0
2020,Brightwater Holdings,BANKING,USD,23830.0,11605.0,12225.0,7724.0,4501.0,4203.0,1051.0,3152.0,43234.0,18206.0,21660.0,6754.0,21574.0,10998.0,12748.0,9079.0,10998.0,4513.0,-1735.0,-859.0,1.14,5939.0
2021,Brightwater Holdings,BANKING,USD,27254.0,13344.0,13910.0,7686.0,6224.0,5901.0,1475.0,4426.0,46381.0,19614.0,21879.0,11026.0,24502.0,14274.0,10990.0,10998.0,14274.0,4679.0,-667.0,-736.0,1.6,7711.0
2022,Brightwater Holdings,BANKING,USD,27358.0,13429.0,13929.0,7682.0,6247.0,6096.0,1524.0,4572.0,49726.0,18433.0,21174.0,8832.0,28552.0,18206.0,15776.0,14274.0,18206.0,4893.0,-667.0,-294.0,1.65,8375.0
2023,Brightwater Holdings,BANKING,USD,32341.0,15772.0,16569.0,9057.0,7512.0,7011.0,1753.0,5258.0,56652.0,23715.0,24130.0,10185.0,32522.0,20659.0,12716.0,18206.0,20659.0,5251.0,-1074.0,-1724.0,1.9,10031.0
2016,Beacon Partners,ENERGY,USD,8900.0,7288.0,1612.0,979.0,633.0,617.0,154.0,463.0,38600.0,14650.0,14700.0,7292.0,23900.0,7406.0,8686.0,7450.0,7406.0,487.0,-261.0,-270.0,0.25,1046.0
2017,Beacon Partners,ENERGY,USD,8728.0,6729.0,1999.0,1139.0,860.0,804.0,201.0,603.0,40704.0,17827.0,16461.0,8423.0,24243.0,7359.0,11389.0,7406.0,7359.0,552.0,-379.0,-220.0,0.32,1151.0
2018,Beacon Partners,ENERGY,USD,8754.0,7020.0,1734.0,1178.0,556.0,523.0,131.0,392.0,41159.0,12859.0,16384.0,5340.0,24775.0,6879.0,9777.0,7359.0,6879.0,393.0,-701.0,-172.0,0.21,1145.0
2019,Beacon Partners,ENERGY,USD,9925.0,7353.0,2572.0,1333.0,1239.0,1197.0,299.0,898.0,42879.0,16250.0,17780.0,7137.0,25099.0,6597.0,11033.0,6879.0,6597.0,784.0,-542.0,-524.0,0.48,1923.0
